,Dream:,,,,,,,,
,,gsm8k_cot,,,,math,,,
,,token/forward (TPF),Acc,AUP,TPF=1时的Acc,token/forward (TPF),Acc,AUP,TPF=1时的Acc
,Qwen-2.5-7B-it,1.00,74.10,74.1000,74.10,1.00,41.15,41.1500,41.15
,EAGLE-3,5.12,76.57,318.9862,76.57,5.72,39.80,142.0584,39.80
,Dream,1.00,83.94,83.9400,83.94,1.00,39.63,39.6300,39.63
,Fast-dLLM-Dream,1.44,79.00,116.4864,83.68,1.78,38.30,55.2169,39.53
,Fast-dLLM-v2-7B,2.21,81.48,176.1064,82.82,2.61,48.74,126.6553,49.92
,dParallel-Dream,3.02,82.12,245.7335,83.80,2.94,38.72,77.9471,39.06
,d3LLM-Dream,5.01,81.86,400.4102,83.47,4.07,38.23,100.5322,39.38
,,,,,,,,,
,,,,,,,,,
,,mbpp_instruct,,,,humaneval_instruct,,,
,,token/forward (TPF),Acc,AUP,TPF=1时的Acc,token/forward (TPF),Acc,AUP,TPF=1时的Acc
,Qwen-2.5-7B-it,1.00,63.80,63.8000,63.80,1.00,72.25,72.2500,72.25
,EAGLE-3,5.69,60.20,298.5704,60.20,5.98,67.58,344.8057,67.58
,Dream,1.00,57.20,57.2000,57.20,1.00,55.20,55.2000,55.20
,Fast-dLLM-Dream,1.20,53.20,63.5892,56.38,1.33,54.27,63.5012,54.86
,Fast-dLLM-v2-7B,2.04,59.12,114.1151,61.23,2.58,61.70,128.9414,63.20
,dParallel-Dream,2.24,55.40,107.9665,57.80,2.57,54.27,98.7677,56.08
,d3LLM-Dream,2.78,56.00,134.7052,58.80,3.27,56.10,129.7368,58.86
,,,,,,,,,
,,,,,,,,,
,,long-gsm8k,,,,,,,
,,token/forward (TPF),Acc,AUP,TPF=1时的Acc,,,,
,Qwen-2.5-7B-it,1.00,82.56,82.5600,82.56,,,,
,EAGLE-3,5.57,80.52,422.2056,80.52,,,,
,Dream,1.00,78.95,78.9500,78.95,,,,
,Fast-dLLM-Dream,1.79,76.57,130.3502,78.83,,,,
,Fast-dLLM-v2-7B,2.58,80.97,207.2460,82.34,,,,
,dParallel-Dream,3.49,78.56,262.3936,81.27,,,,
,d3LLM-Dream,4.84,77.12,351.0988,81.20,,,,
,,,,,,,,,
